ensembl_peptide_id,tf_gene,entrezgene_id
ENSP00000308759,ZBTB21,49854
ENSP00000309161,ZNF471,57573
ENSP00000309330,ZNF680,340252
ENSP00000309336,HOXC5,3222
ENSP00000309439,HOXB9,3219
ENSP00000309570,KLF7,8609
ENSP00000309606,ZNF408,79797
ENSP00000309653,GLIS1,148979
ENSP00000309753,RORA,6095
ENSP00000309812,ZNF80,7634
ENSP00000309823,FOXP4,116113
ENSP00000309913,TBX5,6910
ENSP00000310006,NR1D2,9975
ENSP00000310033,ZNF596,169270
ENSP00000310127,IRF3,3661
ENSP00000310170,FOSL1,8061
ENSP00000310301,SP3,6670
ENSP00000310359,ZNF407,55628
ENSP00000310448,SART1,9092
ENSP00000310472,ZNF624,57547
ENSP00000310701,TEAD2,8463
ENSP00000310928,PPARD,5467
ENSP00000311010,ELF5,2001
ENSP00000311166,HSFY1,86614
ENSP00000311183,ZNF497,162968
ENSP00000311280,ELF4,2000
ENSP00000311290,PROP1,5626
ENSP00000311319,ZNF417,147687
ENSP00000311492,ISX,91464
ENSP00000311508,RELA,5970
ENSP00000311521,ZNF490,57474
ENSP00000311596,ZNF699,374879
ENSP00000311679,ZNF483,158399
ENSP00000311778,ZMIZ2,83637
ENSP00000311816,REST,5978
ENSP00000311847,CARHSP1,23589
ENSP00000312222,ZHX3,23051
ENSP00000312247,ARNTL2,56938
ENSP00000312277,ZNF507,22847
ENSP00000312352,PRDM2,7799
ENSP00000312385,EVX2,344191
ENSP00000312436,NFE2,4778
ENSP00000312472,PPARG,5468
ENSP00000312631,INSM1,3642
ENSP00000312694,GLI2,2736
ENSP00000312834,MLXIP,22877
ENSP00000312987,HNF4A,3172
ENSP00000313158,ZNF366,167465
ENSP00000313243,HSF5,124535
ENSP00000313258,ZNF541,84215
ENSP00000313362,MAZ,4150
ENSP00000313416,ZBTB48,3104
ENSP00000313443,ZNF491,126069
ENSP00000313516,ZNF786,136051
ENSP00000313529,IRF9,10379
ENSP00000313582,ZNF436,80818
ENSP00000313822,ZNF821,55565
ENSP00000314080,HIC1,3090
ENSP00000314129,TFE3,7030
ENSP00000314153,ZBTB33,10009
ENSP00000314480,UNCX,340260
ENSP00000314709,ZHX2,22882
ENSP00000314750,PAX8,7849
ENSP00000314774,HES7,84667
ENSP00000314806,FOXR1,283150
ENSP00000315173,ZNF41,7592
ENSP00000315180,HNF4A,3172
ENSP00000315198,HOPX,84525
ENSP00000315417,ALX1,8092
ENSP00000315442,NR1H4,9971
ENSP00000315454,BPTF,2186
