ensembl_peptide_id,tf_gene,entrezgene_id
ENSMUSP00000044459,Mitf,17342
ENSMUSP00000044612,Zfhx3,11906
ENSMUSP00000044809,Hoxd3,15434
ENSMUSP00000044879,Isl1,16392
ENSMUSP00000044938,Mitf,17342
ENSMUSP00000044983,Hand2,15111
ENSMUSP00000045005,Zfp182,319535
ENSMUSP00000045156,Zfhx2,239102
ENSMUSP00000045281,Pbx3,18516
ENSMUSP00000045478,Lzts2,226154
ENSMUSP00000045498,Zfp109,56869
ENSMUSP00000045550,Zfp410,52708
ENSMUSP00000045570,Zbtb41,226470
ENSMUSP00000045639,Klf9,16601
ENSMUSP00000045684,Zfp51,22709
ENSMUSP00000045744,Batf2,74481
ENSMUSP00000045805,Zfp174,385674
ENSMUSP00000045895,Zfp653,319601
ENSMUSP00000045918,Foxa2,15376
ENSMUSP00000045973,Six5,20475
ENSMUSP00000045993,Mycn,18109
ENSMUSP00000046010,Lyl1,17095
ENSMUSP00000046026,Emx1,13796
ENSMUSP00000046067,Satb2,212712
ENSMUSP00000046235,Arntl,11865
ENSMUSP00000046312,Nfatc1,18018
ENSMUSP00000046514,Zfp300,245368
ENSMUSP00000046515,Elf1,13709
ENSMUSP00000046787,Tbr1,21375
ENSMUSP00000046789,Foxf2,14238
ENSMUSP00000046812,Dmrt3,240590
ENSMUSP00000046939,Hoxa9,15405
ENSMUSP00000046974,Ikzf1,22778
ENSMUSP00000046999,Hand1,15110
ENSMUSP00000047015,Churc1,211151
ENSMUSP00000047016,Neurod6,11922
ENSMUSP00000047088,Zscan18,232875
ENSMUSP00000047110,Zfp938,237411
ENSMUSP00000047134,Lbx2,16815
ENSMUSP00000047222,Zfp458,238690
ENSMUSP00000047333,Zbtb7a,16969
ENSMUSP00000047359,Pitx2,18741
ENSMUSP00000047397,Sart1,20227
ENSMUSP00000047457,Tlx3,27140
ENSMUSP00000047529,Myf6,17878
ENSMUSP00000047597,Rorb,225998
ENSMUSP00000047771,Atf5,107503
